Date,Open,High,Low,Close,Adj Close,Volume
2014-11-21,24380,24520,24340,24460,66.143776,12336350
2014-11-24,24940,24960,24200,24400,65.981522,10284300
2014-11-25,24480,24480,23800,23800,64.359032,17811050
2014-11-26,23800,24220,23640,24020,64.953957,12287900
2014-11-27,25460,26020,25280,25280,68.361183,44377800
2014-11-28,25900,25920,25480,25740,69.605103,9844550
2014-12-01,25880,25960,25740,25900,70.037773,12866850
2014-12-02,25900,25900,25320,25900,70.037773,9222700
2014-12-03,26000,26020,25900,25960,70.200012,9735500
2014-12-04,26040,26060,25960,26000,70.308182,8871350
2014-12-05,26280,26280,26000,26040,70.416359,5637800
2014-12-08,26060,26420,26040,26380,71.335762,7916550
2014-12-09,26380,27140,26380,26980,72.95826,13553100
2014-12-10,26920,26920,26340,26340,71.2276,15977800
2014-12-11,26340,26380,25880,26100,70.578606,20490850
2014-12-12,26060,26080,25480,25720,69.55101,14397250
2014-12-15,25600,25600,25200,25460,68.847939,14337950
2014-12-16,25400,25780,25360,25580,69.172432,12894750
2014-12-17,25580,25660,25060,25320,68.46936,13088650
2014-12-18,25320,25580,25040,25320,68.46936,11808250
2014-12-19,25880,26560,25740,26560,71.82251,18356500
2014-12-22,26900,26940,26360,26900,72.741913,17943850
2014-12-23,26920,26980,26740,26780,72.417435,10976350
2014-12-24,26780,26860,26780,26860,72.633781,6257000
2014-12-26,26860,27100,26860,27040,73.120529,11488100
2014-12-29,26900,26940,26580,26580,257.764343,9637450
2014-12-30,26600,26700,26420,26540,257.376465,10649100
2015-01-02,26800,26800,26540,26600,257.958313,8774950
2015-01-05,26720,26720,26260,26660,258.540161,10139500
2015-01-06,26300,26340,25760,25900,251.169937,15235500
2015-01-07,25880,26220,25640,26140,253.497406,14322750
2015-01-08,26780,26780,26200,26280,254.855087,14477600
2015-01-09,26280,26440,26280,26280,254.855087,9312400
2015-01-12,26260,26380,26020,26320,255.242996,8325400
2015-01-13,26280,26800,26000,26780,259.703888,12293400
2015-01-14,26780,27100,26700,26900,260.867584,14332250
2015-01-15,26900,26980,26580,26680,258.7341,14103900
2015-01-16,26680,26680,26260,26320,255.242996,13568500
2015-01-19,26580,26980,26400,26860,260.479706,6672950
2015-01-20,27000,27440,26900,27440,266.10434,13278050
2015-01-21,27340,27900,27200,27900,270.565308,16612650
2015-01-22,27960,27980,27560,27560,267.268097,17957700
2015-01-23,28000,28000,27540,27720,268.819702,12858750
2015-01-26,27500,27900,27280,27780,269.40155,10153500
2015-01-27,27500,28000,27480,28000,271.535034,9957200
2015-01-28,27720,27800,27480,27560,267.268097,10831500
2015-01-29,27360,27900,27140,27200,263.776917,13702250
2015-01-30,27200,27540,27200,27300,264.746674,16110000
2015-02-02,27300,27540,27120,27360,265.328522,10521000
2015-02-03,27600,27600,27180,27320,264.940643,5654400
2015-02-04,27500,27620,27180,27180,263.583008,9328900
2015-02-05,27180,27380,26920,27160,263.389038,6770400
2015-02-06,26920,27480,26720,27440,266.10434,8005050
2015-02-09,27200,27980,27140,27900,270.565308,8693500
2015-02-10,28000,28000,27540,27560,267.268097,6519350
2015-02-11,27480,27480,27080,27100,262.807129,9973800
2015-02-12,26800,27160,26620,26880,260.673676,10748200
2015-02-13,27200,27220,26900,27220,263.970886,6522900
2015-02-16,27360,27480,27220,27480,266.492249,6226500
2015-02-17,27480,27540,27280,27540,267.074066,5745000
2015-02-23,27560,27800,27320,27340,265.134613,15301800
2015-02-24,27700,27780,27280,27340,265.134613,10863250
2015-02-25,27600,27700,27460,27580,267.462006,8374250
2015-02-26,27580,27600,27360,27500,266.686157,8179150
2015-02-27,27500,27520,27140,27140,263.195068,13009400
2015-03-02,27500,28460,27340,28460,275.995972,21805600
2015-03-03,28700,28740,28120,28360,275.026215,13748800
2015-03-04,28220,28800,28200,28740,278.711334,11603100
2015-03-05,28780,28860,28340,28440,275.802002,9615600
2015-03-06,28280,28980,28120,28840,279.681091,11733500
2015-03-09,28800,28800,28400,28400,275.414124,7814600
2015-03-10,28680,28860,28400,28420,275.608093,10419850
2015-03-11,28380,29580,28360,29480,285.887604,21108650
2015-03-12,29200,29460,28940,28940,280.650879,19153200
2015-03-13,29220,29580,29100,29140,282.590424,9413100
