,Date,Open,High,Low,Close,Volume,index,Change,change_ratio,Open_R,High_R,Low_R,Vol_R,max_10_R,min_10_R,max_20_R,min_20_R,max_55_R,min_55_R,max_60_R,min_60_R,event,order,position,buy_type,buy_price,open_profit,close_profit,winnloss,cum_profit,day20_profit,kospi close,kospi change_r
1336,2016-06-01,25960,26820,25900,26660,470080,20160601,820.0,0.03173,0.0046439628482972135,0.037925696594427245,0.0023219814241486067,-0.6241,0.0,0.05043,0.0,0.06811,0.0,0.07068,0.0,0.11829,1,1,1,S2,26660,0,0,1,2340,0.0,1982.719970703125,-0.00033999999999999997
1407,2016-09-12,29800,30119,29119,29300,529987,20160912,-2200.0,-0.06984,-0.05396825396825397,-0.04384126984126984,-0.07558730158730159,0.99868,-0.10942,0.0,-0.13159,0.0,-0.13159,0.04943,-0.13159,0.04943,1,-1,0,S2,0,0,2640,1,4980,2640.0,1991.47998046875,-0.02276
1421,2016-10-06,33920,34000,33340,33820,591163,20161006,1440.0,0.044469999999999996,0.04756022235948116,0.05003088326127239,0.02964793082149475,1.37026,0.0,0.07913,0.0,0.15427,0.0,0.15427,0.0,0.15822,1,1,1,S2,33820,0,0,1,4980,2640.0,2065.300048828125,0.00599
1448,2016-11-14,31899,31919,31040,31060,302666,20161114,-900.0,-0.02816,-0.0019086357947434294,-0.0012828535669586983,-0.028785982478097622,0.1789,-0.05993,0.0,-0.05993,0.0,-0.08968,0.06007,-0.08968,0.06007,1,-1,0,S2,0,0,-2760,0,2220,-2760.0,1974.4000244140625,-0.00505
1458,2016-11-28,33000,33620,32800,33540,265881,20161128,540.0,0.01636,0.0,0.018787878787878787,-0.006060606060606061,1.11793,0.0,0.08967,0.0,0.08967,-0.017,0.14471,-0.017,0.14471,1,1,1,S1,33540,0,0,0,2220,-2760.0,1978.1300048828125,0.00186
1485,2017-01-05,36060,36060,35540,35560,219349,20170105,-600.0,-0.01659,-0.0027654867256637168,-0.0027654867256637168,-0.017146017699115043,0.37579,-0.02522,0.0,-0.02522,0.01484,-0.02522,0.1553,-0.02522,0.1553,1,-1,0,S1,0,0,2020,1,4240,2020.0,2041.949951171875,-0.0018
1487,2017-01-09,36600,37500,36560,37220,263898,20170109,1020.0,0.02818,0.011049723756906077,0.03591160220994475,0.009944751381215469,0.48575,0.0,0.04668,0.0,0.06221,0.0,0.20923,0.0,0.20923,1,1,1,S2,37220,0,0,1,4240,2020.0,2048.780029296875,-0.00016999999999999999
1556,2017-04-19,41299,41420,40900,40900,235258,20170419,-600.0,-0.014459999999999999,-0.004843373493975903,-0.0019277108433734939,-0.014457831325301205,0.71455,-0.03583,0.0,-0.03583,0.0,-0.039,0.08834,-0.039,0.08834,1,-1,0,S2,0,0,3680,1,7920,3680.0,2138.39990234375,-0.00468
1560,2017-04-25,41460,42740,41320,42700,385992,20170425,1460.0,0.0354,0.00533462657613967,0.036372453928225024,0.0019398642095053346,1.14675,0.0,0.06008,0.0,0.06008,0.0,0.13624,0.0,0.13624,1,1,1,S2,42700,0,0,1,7920,3680.0,2196.85009765625,0.01063
1628,2017-08-04,48160,48180,47500,47700,167184,20170804,-80.0,-0.0016699999999999998,0.00795311845960653,0.008371703641691083,-0.0058601925491837585,-0.46211,-0.06213,0.0,-0.06836,0.0,-0.06836,0.06855,-0.06836,0.06855,1,-1,0,S2,0,0,5000,1,12920,5000.0,2395.449951171875,0.0036
1658,2017-09-18,50540,52480,50520,52480,230499,20170918,2080.0,0.04127,0.002777777777777778,0.04126984126984127,0.002380952380952381,0.07136,0.0,0.12233,0.0,0.13988,0.0,0.17615,0.0,0.17615,1,1,1,S2,52480,0,0,1,12920,0.0,2418.2099609375,0.01347
1702,2017-11-27,55360,55360,52640,52640,362578,20171127,-2820.0,-0.05085,-0.0018031013342949874,-0.0018031013342949874,-0.05084745762711865,2.99649,-0.05933,0.0,-0.08004,0.0,-0.08004,0.14335,-0.08004,0.14335,1,-1,0,S2,0,0,160,1,13080,160.0,2507.81005859375,-0.01435
